[  846.940222] tgid, 1870, delta_vrun, 54, delta_rrun, 510, prio, 110
[  846.998332] tgid, 1870, delta_vrun, 10947, delta_rrun, 102073, prio, 110
[  847.046793] tgid, 1870, delta_vrun, 65740, delta_rrun, 612982, prio, 110
[  847.082799] tgid, 1870, delta_vrun, 41787, delta_rrun, 389638, prio, 110
[  847.191592] tgid, 1870, delta_vrun, 29660, delta_rrun, 276559, prio, 110
[  847.328813] tgid, 1870, delta_vrun, 16095, delta_rrun, 150079, prio, 110
[  847.367993] tgid, 1870, delta_vrun, 368, delta_rrun, 3434, prio, 110
[  847.415250] tgid, 1870, delta_vrun, 561, delta_rrun, 5238, prio, 110
[  847.913572] tgid, 1870, delta_vrun, 28696, delta_rrun, 267575, prio, 110
[  847.977628] tgid, 1870, delta_vrun, 66930, delta_rrun, 624073, prio, 110
[  848.202428] tgid, 1870, delta_vrun, 20809, delta_rrun, 194028, prio, 110
[  848.251174] tgid, 1870, delta_vrun, 330, delta_rrun, 3085, prio, 110
[  848.318260] tgid, 1870, delta_vrun, 114, delta_rrun, 1063, prio, 110
[  848.604249] tgid, 1870, delta_vrun, 1394, delta_rrun, 13005, prio, 110
[  848.702165] tgid, 1870, delta_vrun, 17316, delta_rrun, 161461, prio, 110
[  848.928739] tgid, 1870, delta_vrun, 15211, delta_rrun, 141835, prio, 110
[  848.950059] tgid, 1870, delta_vrun, 23001, delta_rrun, 214469, prio, 110
[  849.000667] tgid, 1870, delta_vrun, 16901, delta_rrun, 157594, prio, 110
[  849.024694] tgid, 1870, delta_vrun, 350, delta_rrun, 3265, prio, 110
[  849.381551] tgid, 1870, delta_vrun, 121, delta_rrun, 1135, prio, 110
[  849.422837] tgid, 1870, delta_vrun, 6559, delta_rrun, 61165, prio, 110
[  849.483347] tgid, 1870, delta_vrun, 19215, delta_rrun, 179174, prio, 110
[  849.556689] tgid, 1870, delta_vrun, 899, delta_rrun, 8383, prio, 110
[  849.661917] tgid, 1870, delta_vrun, 24430, delta_rrun, 227799, prio, 110
[  850.057028] tgid, 1870, delta_vrun, 536, delta_rrun, 5005, prio, 110
[  850.059370] tgid, 1870, delta_vrun, 44370, delta_rrun, 413722, prio, 110
[  850.504799] tgid, 1870, delta_vrun, 399, delta_rrun, 3727, prio, 110
[  850.542018] tgid, 1870, delta_vrun, 68131, delta_rrun, 635274, prio, 110
[  850.583649] tgid, 1870, delta_vrun, 188, delta_rrun, 1754, prio, 110
[  851.284852] tgid, 1870, delta_vrun, 97, delta_rrun, 905, prio, 110
[  851.899527] tgid, 1870, delta_vrun, 12028, delta_rrun, 112159, prio, 110
[  851.944851] tgid, 1870, delta_vrun, 869, delta_rrun, 8110, prio, 110
[  852.049828] tgid, 1870, delta_vrun, 62229, delta_rrun, 580241, prio, 110
[  852.082655] tgid, 1870, delta_vrun, 355, delta_rrun, 3317, prio, 110
[  852.113871] tgid, 1870, delta_vrun, 28286, delta_rrun, 263753, prio, 110
[  852.146892] tgid, 1870, delta_vrun, 98, delta_rrun, 922, prio, 110
[  852.208636] tgid, 1870, delta_vrun, 10928, delta_rrun, 101896, prio, 110
[  852.532540] tgid, 1870, delta_vrun, 8069, delta_rrun, 75241, prio, 110
[  852.560885] tgid, 1870, delta_vrun, 14850, delta_rrun, 138470, prio, 110
[  852.690152] tgid, 1870, delta_vrun, 528, delta_rrun, 4926, prio, 110
[  852.766907] tgid, 1870, delta_vrun, 54917, delta_rrun, 512059, prio, 110
[  852.986875] tgid, 1870, delta_vrun, 210, delta_rrun, 1966, prio, 110
[  853.142123] tgid, 1870, delta_vrun, 21476, delta_rrun, 200256, prio, 110
[  853.617236] tgid, 1870, delta_vrun, 322, delta_rrun, 3009, prio, 110
[  853.662574] tgid, 1870, delta_vrun, 518, delta_rrun, 4834, prio, 110
